crop_type,acreage,harvest_date,yield,fertilizer_type
soybeans,8701.99,7/24/2022,231.3,potassium
soybeans,4128.43,5/9/2022,282.64,nitrogen
cotton,989.65,8/4/2022,376.8,phosphorus
cotton,2309.44,7/23/2022,325.74,potassium
soybeans,634.6,1/18/2022,75.72,potassium
soybeans,3100.27,4/19/2022,181.93,potassium
soybeans,2177.16,1/11/2022,373.05,nitrogen
cotton,5645.73,9/22/2022,408.35,potassium
soybeans,4040.97,5/13/2022,318.0,potassium
soybeans,4406.32,8/20/2022,304.0,nitrogen
soybeans,361.93,3/22/2022,47.99,nitrogen
soybeans,4323.44,9/6/2022,414.78,phosphorus
corn,193.02,5/23/2022,23.51,potassium
rice,3145.81,4/7/2022,166.98,nitrogen
cotton,7521.19,4/22/2022,321.65,nitrogen
soybeans,3164.2,7/8/2022,141.45,nitrogen
rice,534.07,10/14/2022,38.58,nitrogen
cotton,6210.3,8/27/2022,313.67,potassium
rice,211.16,3/3/2022,0.32,nitrogen
wheat,4339.71,1/13/2022,119.12,potassium
rice,2493.66,4/24/2022,143.97,phosphorus
corn,3035.72,7/30/2022,284.43,potassium
soybeans,8992.94,9/2/2022,252.51,potassium
corn,299.45,1/7/2022,346.6,phosphorus
wheat,5587.87,6/21/2022,421.31,nitrogen
soybeans,1541.89,12/3/2022,77.22,potassium
cotton,7116.72,5/25/2022,332.51,nitrogen
rice,6498.52,10/13/2022,280.49,phosphorus
rice,2191.52,3/22/2022,38.75,phosphorus
corn,4158.65,9/30/2022,373.44,potassium
soybeans,7833.97,4/16/2022,350.04,potassium
rice,1565.24,7/21/2022,392.69,nitrogen
wheat,155.21,5/25/2022,211.24,potassium
soybeans,6058.23,5/21/2022,313.54,nitrogen
wheat,9465.8,9/16/2022,100.56,potassium
rice,2184.92,11/8/2022,299.12,phosphorus
soybeans,6592.56,2/17/2022,75.15,potassium
cotton,2046.57,3/7/2022,303.7,nitrogen
wheat,4248.17,12/21/2022,67.62,potassium
corn,6653.36,4/19/2022,136.81,nitrogen
corn,8607.85,1/9/2022,291.13,potassium
cotton,6334.48,2/12/2022,22.81,phosphorus
rice,5364.64,6/24/2022,230.81,potassium
wheat,346.9,1/25/2022,82.24,nitrogen
wheat,8717.54,9/4/2022,474.47,phosphorus
rice,2558.06,11/18/2022,45.58,potassium
soybeans,7506.97,10/3/2022,263.99,potassium
corn,557.27,12/13/2022,242.08,nitrogen
soybeans,6294.32,7/7/2022,326.45,phosphorus
wheat,3320.67,8/15/2022,328.8,nitrogen
corn,666.54,4/20/2022,169.65,nitrogen
rice,9091.17,3/17/2022,179.17,potassium
soybeans,7375.54,12/16/2022,225.68,phosphorus
corn,5572.21,7/24/2022,139.06,nitrogen
soybeans,3528.22,10/27/2022,390.39,phosphorus
rice,3863.88,12/30/2022,164.55,nitrogen
rice,6881.8,12/15/2022,179.89,nitrogen
cotton,9269.97,3/31/2022,128.12,nitrogen
wheat,6894.3,2/7/2022,32.52,phosphorus
cotton,5250.98,9/2/2022,222.61,nitrogen
corn,6400.89,11/15/2022,302.81,nitrogen
corn,1855.46,8/7/2022,190.83,potassium
cotton,8877.29,10/24/2022,485.84,phosphorus
rice,825.69,1/15/2022,61.68,phosphorus
wheat,3767.91,7/19/2022,393.99,phosphorus
cotton,4303.77,1/23/2022,388.97,phosphorus
rice,7172.85,7/10/2022,195.82,potassium
corn,1912.42,1/6/2022,265.72,potassium
rice,5025.68,10/4/2022,493.18,nitrogen
soybeans,4281.63,6/10/2022,483.82,nitrogen
corn,3289.16,6/26/2022,412.11,nitrogen
corn,2244.72,5/10/2022,397.32,nitrogen
corn,565.54,9/12/2022,411.46,potassium
rice,4616.15,11/18/2022,114.27,potassium
soybeans,8034.23,11/14/2022,272.41,nitrogen
wheat,1469.53,1/2/2022,496.19,potassium
wheat,5165.85,8/4/2022,32.27,potassium
soybeans,8236.27,7/8/2022,238.69,phosphorus
corn,5236.84,5/24/2022,97.73,potassium
rice,4307.9,5/30/2022,425.87,phosphorus
corn,4538.8,1/26/2022,410.18,phosphorus
rice,3584.65,10/27/2022,184.54,potassium
wheat,4412.9,12/13/2022,213.19,potassium
corn,55.71,8/5/2022,73.35,phosphorus
wheat,3909.43,12/8/2022,373.87,potassium
corn,2227.38,9/4/2022,227.96,potassium
rice,2838.67,1/9/2022,480.82,potassium
cotton,6638.56,11/11/2022,246.49,phosphorus
rice,5162.54,10/17/2022,404.88,nitrogen
corn,2311.83,6/6/2022,400.48,phosphorus
corn,245.88,4/23/2022,201.32,potassium
rice,7792.44,11/30/2022,206.84,phosphorus
wheat,522.67,1/7/2022,244.44,phosphorus
soybeans,1127.72,3/25/2022,108.5,phosphorus
rice,1211.71,11/25/2022,201.95,potassium
wheat,6213.19,8/3/2022,488.71,nitrogen
rice,3356.37,8/3/2022,413.21,phosphorus
corn,8544.89,9/12/2022,72.39,phosphorus
cotton,5470.71,6/5/2022,24.75,potassium
soybeans,9792.26,8/28/2022,346.23,nitrogen
soybeans,9509.21,5/2/2022,242.07,phosphorus
rice,8075.63,11/15/2022,191.51,nitrogen
rice,1008.09,7/28/2022,23.21,nitrogen
rice,8016.0,12/29/2022,79.02,potassium
wheat,1891.15,4/2/2022,380.82,potassium
wheat,3477.74,9/27/2022,1.62,phosphorus
soybeans,8664.13,6/25/2022,432.54,nitrogen
wheat,9110.46,8/21/2022,324.96,nitrogen
soybeans,8041.05,10/23/2022,352.13,phosphorus
wheat,5314.55,12/10/2022,18.65,phosphorus
cotton,3107.13,2/3/2022,359.56,phosphorus
rice,1204.1,2/5/2022,229.16,phosphorus
wheat,9497.84,8/31/2022,329.96,nitrogen
soybeans,8206.88,10/2/2022,19.63,potassium
cotton,8593.54,7/18/2022,226.67,phosphorus
wheat,2745.82,6/30/2022,483.71,nitrogen
cotton,2368.0,8/30/2022,248.35,phosphorus
rice,3557.03,11/13/2022,378.49,nitrogen
wheat,2236.43,6/10/2022,371.28,potassium
wheat,6612.55,7/24/2022,169.8,potassium
soybeans,959.25,5/19/2022,66.09,nitrogen
corn,1930.08,5/29/2022,220.57,phosphorus
wheat,6345.77,1/29/2022,95.18,nitrogen
wheat,2601.18,2/19/2022,445.47,phosphorus
cotton,6594.67,5/13/2022,166.9,phosphorus
soybeans,6563.55,7/16/2022,20.95,phosphorus
rice,5291.02,4/21/2022,183.1,phosphorus
soybeans,1627.51,10/6/2022,489.64,nitrogen
soybeans,288.5,5/30/2022,345.53,phosphorus
cotton,4379.49,3/31/2022,76.65,potassium
corn,2042.68,4/9/2022,325.39,potassium
soybeans,3721.58,2/4/2022,70.27,potassium
rice,2079.19,4/3/2022,152.61,phosphorus
soybeans,9156.14,4/6/2022,85.84,potassium
rice,3927.78,6/16/2022,369.06,potassium
soybeans,5688.44,3/4/2022,236.54,potassium
wheat,517.52,2/11/2022,443.7,phosphorus
wheat,571.87,7/17/2022,309.6,phosphorus
wheat,9773.2,3/6/2022,415.45,nitrogen
soybeans,7292.84,8/16/2022,66.13,potassium
wheat,6655.99,3/4/2022,417.32,phosphorus
corn,9008.03,1/25/2022,118.81,phosphorus
soybeans,8401.3,4/21/2022,193.43,nitrogen
wheat,7495.92,12/23/2022,137.8,nitrogen
corn,7967.41,8/14/2022,451.32,phosphorus
corn,7576.06,5/19/2022,477.46,nitrogen
cotton,602.97,7/13/2022,177.8,phosphorus
corn,3042.25,4/21/2022,252.03,potassium
rice,6129.49,1/6/2022,328.69,potassium
wheat,8254.43,12/21/2022,170.05,nitrogen
corn,9435.22,1/17/2022,233.38,potassium
cotton,5451.15,2/17/2022,382.07,nitrogen
rice,954.52,11/21/2022,53.16,nitrogen
wheat,1275.82,9/16/2022,138.1,phosphorus
cotton,660.34,5/29/2022,433.77,nitrogen
cotton,6425.84,11/5/2022,260.21,nitrogen
corn,4796.75,4/20/2022,263.45,phosphorus
cotton,181.27,11/21/2022,119.67,phosphorus
wheat,4623.65,9/13/2022,475.51,potassium
cotton,4185.11,9/30/2022,371.99,phosphorus
soybeans,5761.93,8/27/2022,286.63,phosphorus
rice,9788.61,7/30/2022,177.86,phosphorus
corn,8854.37,10/29/2022,50.94,potassium
rice,5845.98,8/18/2022,94.71,phosphorus
wheat,7569.29,5/15/2022,144.37,phosphorus
corn,5739.26,1/20/2022,307.97,phosphorus
corn,7878.39,12/16/2022,108.4,nitrogen
wheat,1778.99,6/24/2022,162.34,nitrogen
rice,375.77,7/18/2022,467.49,nitrogen
rice,9234.24,6/3/2022,83.35,potassium
corn,1951.0,8/24/2022,339.55,phosphorus
cotton,1371.93,1/3/2022,315.84,phosphorus
corn,8074.16,4/27/2022,190.31,nitrogen
soybeans,941.91,6/4/2022,399.85,nitrogen
wheat,9500.72,7/2/2022,268.04,potassium
rice,453.04,11/8/2022,457.12,potassium
cotton,330.18,6/12/2022,463.77,nitrogen
corn,8533.96,4/30/2022,322.38,phosphorus
corn,2418.48,8/12/2022,380.19,phosphorus
soybeans,1064.04,10/9/2022,254.13,potassium
wheat,8188.94,2/14/2022,153.7,nitrogen
rice,6982.53,4/7/2022,279.15,phosphorus
rice,6698.85,11/13/2022,220.37,potassium
corn,5374.95,9/12/2022,247.61,potassium
cotton,5320.77,2/10/2022,271.16,phosphorus
rice,953.1,5/30/2022,166.1,phosphorus
soybeans,4337.09,10/8/2022,320.98,potassium
cotton,2652.15,12/4/2022,211.39,nitrogen
corn,1618.28,10/20/2022,185.4,potassium
cotton,4412.04,4/13/2022,304.69,phosphorus
soybeans,9687.96,8/20/2022,269.38,nitrogen
wheat,9457.62,8/15/2022,148.86,potassium
cotton,2806.57,1/4/2022,264.96,phosphorus
cotton,4195.25,7/13/2022,199.36,potassium
soybeans,2754.02,6/22/2022,9.62,potassium
rice,7380.22,10/28/2022,100.49,phosphorus
rice,3769.04,10/26/2022,35.16,potassium
cotton,4967.71,2/23/2022,229.62,potassium
cotton,6917.25,8/20/2022,155.33,nitrogen
rice,9947.73,12/25/2022,236.21,nitrogen
cotton,4442.63,2/9/2022,42.33,phosphorus
corn,8891.17,9/12/2022,201.46,phosphorus
cotton,5519.69,5/15/2022,125.12,potassium
cotton,1556.88,11/1/2022,309.76,phosphorus
cotton,4714.37,9/2/2022,204.76,phosphorus
wheat,7668.08,6/15/2022,397.64,potassium
soybeans,1660.58,8/27/2022,155.03,phosphorus
rice,1928.72,4/30/2022,219.41,nitrogen
cotton,3754.11,9/10/2022,447.37,phosphorus
rice,3004.69,9/22/2022,164.1,nitrogen
rice,9741.35,3/10/2022,232.74,potassium
rice,2436.03,8/1/2022,52.69,phosphorus
wheat,8322.27,5/31/2022,50.85,phosphorus
cotton,9495.33,10/13/2022,471.61,nitrogen
cotton,7273.7,10/5/2022,57.0,phosphorus
rice,8648.19,12/17/2022,242.23,phosphorus
soybeans,8752.6,6/26/2022,148.93,potassium
cotton,3352.24,3/28/2022,272.01,potassium
corn,4954.91,11/3/2022,200.66,phosphorus
wheat,3090.74,3/1/2022,344.33,potassium
cotton,3069.33,5/26/2022,247.27,potassium
cotton,6980.66,9/10/2022,315.17,nitrogen
cotton,6304.87,2/8/2022,59.86,nitrogen
corn,2337.79,11/19/2022,485.99,nitrogen
soybeans,969.61,8/4/2022,409.15,phosphorus
soybeans,8278.76,5/16/2022,261.63,nitrogen
soybeans,318.78,3/8/2022,131.15,phosphorus
cotton,8137.39,5/20/2022,403.86,phosphorus
rice,7280.19,5/1/2022,3.33,nitrogen
cotton,9726.7,5/16/2022,217.63,nitrogen
cotton,7052.85,2/28/2022,169.89,phosphorus
soybeans,8343.54,8/30/2022,341.8,nitrogen
corn,4597.65,5/2/2022,204.36,phosphorus
cotton,3265.6,11/8/2022,7.65,potassium
corn,6770.24,4/25/2022,427.88,phosphorus
corn,3492.89,8/14/2022,339.7,potassium
wheat,6907.29,8/27/2022,222.54,potassium
cotton,2554.72,2/9/2022,115.32,nitrogen
soybeans,608.75,5/31/2022,320.34,potassium
cotton,4995.91,8/1/2022,145.94,phosphorus
rice,6708.02,7/18/2022,196.11,phosphorus
cotton,3748.67,7/18/2022,71.75,nitrogen
soybeans,1868.46,4/3/2022,315.65,potassium
cotton,4838.61,3/26/2022,421.44,phosphorus
soybeans,6414.0,1/8/2022,272.8,nitrogen
wheat,7543.77,7/10/2022,359.24,phosphorus
wheat,5251.19,12/22/2022,149.98,potassium
wheat,1899.71,4/23/2022,320.58,potassium
corn,1728.57,5/21/2022,108.51,potassium
cotton,5392.88,1/1/2022,229.23,potassium
rice,3447.59,1/2/2022,118.71,nitrogen
corn,7784.17,1/24/2022,133.33,nitrogen
rice,1482.1,9/23/2022,145.11,phosphorus
wheat,675.84,3/17/2022,285.01,nitrogen
cotton,8139.1,7/3/2022,75.53,phosphorus
wheat,8464.15,11/29/2022,150.72,potassium
rice,6669.6,6/2/2022,403.61,phosphorus
rice,1278.45,3/26/2022,483.33,phosphorus
cotton,4772.07,10/24/2022,119.26,nitrogen
cotton,5440.05,4/24/2022,57.81,phosphorus
cotton,2325.14,9/26/2022,122.31,nitrogen
wheat,1110.49,1/25/2022,23.23,phosphorus
soybeans,2532.29,3/6/2022,80.97,potassium
rice,9816.31,11/3/2022,209.81,potassium
soybeans,4465.61,6/24/2022,9.86,potassium
corn,6253.42,10/12/2022,249.97,potassium
cotton,5726.9,12/19/2022,473.32,nitrogen
soybeans,3518.7,9/22/2022,420.3,potassium
soybeans,4426.87,5/14/2022,0.44,potassium
corn,6873.86,4/27/2022,249.16,nitrogen
soybeans,1655.07,1/26/2022,327.46,nitrogen
corn,7390.76,6/7/2022,181.07,phosphorus
wheat,8092.44,2/13/2022,455.05,potassium
cotton,9446.4,12/19/2022,27.33,potassium
cotton,5992.63,7/1/2022,290.43,phosphorus
corn,9937.22,7/10/2022,463.66,nitrogen
wheat,4944.99,5/8/2022,381.03,potassium
rice,6159.28,2/15/2022,189.93,potassium
rice,3214.82,11/6/2022,480.51,nitrogen
corn,2559.0,12/26/2022,4.57,phosphorus
corn,7737.51,10/8/2022,355.52,potassium
soybeans,8989.63,1/18/2022,354.05,nitrogen
corn,4947.22,5/13/2022,61.92,potassium
corn,9515.8,3/24/2022,167.53,nitrogen
rice,4398.18,6/5/2022,61.13,potassium
wheat,5770.34,7/12/2022,176.12,nitrogen
wheat,2337.88,6/2/2022,216.69,potassium
corn,3215.82,4/26/2022,491.89,nitrogen
wheat,1794.89,4/15/2022,120.79,phosphorus
soybeans,8373.63,10/19/2022,212.58,potassium
corn,9922.93,1/18/2022,309.77,phosphorus
wheat,4717.06,4/8/2022,27.91,nitrogen
rice,6156.72,10/23/2022,413.85,potassium
rice,190.5,1/5/2022,252.78,nitrogen
wheat,9356.56,7/27/2022,442.98,phosphorus
cotton,2598.36,8/28/2022,407.39,potassium
cotton,139.67,4/14/2022,328.77,potassium
rice,898.0,11/20/2022,200.25,potassium
wheat,8303.81,6/26/2022,78.21,nitrogen
corn,2121.5,12/17/2022,246.59,potassium
wheat,3018.95,10/1/2022,86.37,potassium
soybeans,3619.51,5/7/2022,316.99,phosphorus
corn,4857.24,8/25/2022,420.3,nitrogen
corn,4551.83,8/25/2022,368.09,potassium
rice,6418.18,9/8/2022,89.5,nitrogen
rice,4834.45,8/26/2022,8.81,phosphorus
cotton,1160.22,4/21/2022,348.46,potassium
wheat,6999.0,7/27/2022,98.42,nitrogen
wheat,4823.66,8/20/2022,159.89,potassium
corn,2715.71,2/12/2022,432.63,nitrogen
wheat,3775.93,9/25/2022,225.77,nitrogen
cotton,2178.58,5/22/2022,262.91,nitrogen
wheat,4991.48,10/25/2022,189.53,phosphorus
rice,3326.0,5/12/2022,37.75,nitrogen
corn,2724.91,11/14/2022,432.11,phosphorus
cotton,2870.37,4/22/2022,450.74,potassium
rice,8330.82,8/3/2022,229.76,potassium
cotton,4944.75,3/10/2022,324.24,potassium
cotton,8109.4,4/11/2022,364.98,phosphorus
soybeans,363.66,5/24/2022,53.77,phosphorus
rice,2259.1,10/24/2022,185.75,nitrogen
cotton,429.04,8/4/2022,213.25,nitrogen
cotton,5015.98,12/7/2022,27.42,phosphorus
rice,8487.56,7/24/2022,307.62,potassium
rice,4659.35,2/7/2022,101.78,phosphorus
corn,2178.21,8/9/2022,82.0,potassium
corn,4068.15,2/23/2022,249.26,nitrogen
cotton,4072.91,5/8/2022,327.18,phosphorus
wheat,465.6,4/6/2022,481.74,nitrogen
wheat,9960.88,11/22/2022,244.78,nitrogen
cotton,2453.14,5/20/2022,43.7,phosphorus
cotton,2560.54,11/1/2022,185.4,nitrogen
rice,9512.03,11/8/2022,59.41,potassium
soybeans,4892.84,12/10/2022,75.52,phosphorus
rice,7723.36,11/30/2022,73.76,potassium
wheat,5381.42,3/23/2022,208.7,potassium
wheat,9353.08,9/13/2022,130.09,phosphorus
corn,2262.64,9/20/2022,82.24,nitrogen
rice,4690.24,3/5/2022,117.48,potassium
wheat,1097.7,2/17/2022,406.04,potassium
wheat,6088.63,11/24/2022,449.82,potassium
rice,8779.87,11/9/2022,112.34,nitrogen
corn,9261.66,8/17/2022,66.17,phosphorus
rice,8853.0,6/4/2022,431.86,phosphorus
soybeans,38.48,9/22/2022,318.0,potassium
wheat,7865.97,12/17/2022,481.29,nitrogen
rice,9154.25,6/16/2022,458.11,nitrogen
rice,2983.61,10/11/2022,40.09,nitrogen
wheat,5541.71,7/22/2022,451.69,potassium
rice,3721.32,6/17/2022,175.07,phosphorus
soybeans,3790.35,10/4/2022,168.27,nitrogen
rice,5052.29,1/23/2022,25.79,nitrogen
wheat,6849.82,10/20/2022,132.65,nitrogen
corn,7596.05,1/25/2022,236.6,potassium
soybeans,649.16,5/11/2022,67.75,phosphorus
corn,1257.16,9/15/2022,422.89,potassium
rice,4750.93,12/27/2022,184.44,potassium
cotton,6800.73,10/6/2022,202.58,nitrogen
rice,5246.81,4/27/2022,185.23,phosphorus
wheat,3599.27,10/4/2022,14.48,potassium
corn,1986.28,5/22/2022,254.97,potassium
corn,1289.63,9/4/2022,429.63,phosphorus
soybeans,6002.11,1/29/2022,380.24,nitrogen
soybeans,1183.03,10/2/2022,97.08,nitrogen
rice,7920.36,3/30/2022,396.73,potassium
cotton,9539.61,7/26/2022,253.69,phosphorus
rice,5366.98,11/6/2022,453.27,nitrogen
rice,1961.07,5/23/2022,251.03,potassium
cotton,9113.33,12/19/2022,154.02,potassium
cotton,1207.03,3/19/2022,297.17,phosphorus
corn,6967.79,8/12/2022,72.89,nitrogen
soybeans,7541.3,8/13/2022,182.78,potassium
cotton,1684.9,3/19/2022,406.19,nitrogen
cotton,6565.94,10/16/2022,304.42,phosphorus
wheat,3735.07,11/8/2022,238.64,nitrogen
cotton,4585.23,8/10/2022,195.85,potassium
soybeans,3860.74,8/28/2022,341.8,phosphorus
rice,733.07,11/24/2022,471.74,potassium
cotton,9503.1,7/24/2022,2.79,potassium
rice,7123.61,2/10/2022,330.76,nitrogen
corn,6636.29,10/19/2022,495.55,phosphorus
rice,8547.16,4/4/2022,33.94,nitrogen
rice,256.06,8/19/2022,95.27,potassium
soybeans,9961.18,6/19/2022,81.42,nitrogen
wheat,1221.8,8/12/2022,33.24,phosphorus
corn,3107.92,10/10/2022,187.58,phosphorus
rice,5782.29,5/21/2022,99.93,phosphorus
corn,9172.64,5/16/2022,122.16,nitrogen
soybeans,4894.41,8/20/2022,135.05,potassium
soybeans,646.34,11/19/2022,84.62,nitrogen
cotton,63.71,2/8/2022,272.42,nitrogen
rice,5643.39,12/27/2022,148.2,potassium
soybeans,7958.03,5/31/2022,269.72,potassium
corn,896.34,10/5/2022,8.31,phosphorus
wheat,1478.38,10/23/2022,35.67,potassium
wheat,9063.76,9/29/2022,356.68,potassium
wheat,6860.76,3/5/2022,385.08,nitrogen
wheat,9877.72,11/19/2022,37.71,phosphorus
wheat,7422.09,3/11/2022,152.43,phosphorus
cotton,5483.79,10/14/2022,96.4,phosphorus
rice,895.13,7/29/2022,4.91,potassium
rice,2784.07,7/25/2022,207.87,nitrogen
rice,5400.25,12/9/2022,99.76,nitrogen
rice,1645.45,10/13/2022,186.17,phosphorus
soybeans,5456.54,5/22/2022,5.47,phosphorus
corn,9918.84,3/20/2022,278.55,phosphorus
wheat,8671.08,6/14/2022,341.31,nitrogen
soybeans,7611.04,5/29/2022,14.11,potassium
wheat,7079.03,6/26/2022,477.68,phosphorus
wheat,698.76,12/13/2022,380.23,potassium
soybeans,149.8,12/18/2022,150.86,phosphorus
wheat,5242.05,9/29/2022,342.32,phosphorus
cotton,8402.65,3/28/2022,203.18,phosphorus
cotton,9946.29,2/24/2022,305.33,nitrogen
corn,5627.89,7/23/2022,18.02,potassium
rice,3167.27,7/7/2022,240.16,phosphorus
rice,8584.47,12/7/2022,31.82,nitrogen
corn,2064.25,11/2/2022,137.97,nitrogen
corn,133.43,12/27/2022,23.96,nitrogen
rice,9051.05,7/14/2022,174.17,nitrogen
corn,5826.5,10/6/2022,134.11,nitrogen
cotton,5816.88,2/7/2022,177.17,potassium
soybeans,576.9,3/21/2022,428.02,potassium
soybeans,9029.1,6/8/2022,474.31,phosphorus
corn,6694.8,11/25/2022,219.65,nitrogen
soybeans,202.76,6/11/2022,394.28,nitrogen
corn,2211.86,8/20/2022,219.87,nitrogen
cotton,1133.36,10/3/2022,13.84,nitrogen
wheat,6335.85,2/9/2022,417.62,phosphorus
soybeans,1494.12,4/26/2022,474.2,potassium
wheat,6839.32,12/28/2022,58.04,phosphorus
wheat,7193.85,1/2/2022,432.83,potassium
cotton,9705.75,8/16/2022,422.78,nitrogen
rice,2514.57,9/28/2022,401.85,phosphorus
wheat,3885.02,4/13/2022,286.4,potassium
soybeans,6373.09,1/23/2022,444.9,phosphorus
rice,5925.53,12/22/2022,257.85,nitrogen
wheat,9123.96,7/24/2022,219.57,nitrogen
cotton,5620.19,10/17/2022,187.75,phosphorus
rice,2909.34,10/16/2022,358.42,phosphorus
cotton,1095.49,4/22/2022,31.57,nitrogen
soybeans,4513.99,7/6/2022,466.09,potassium
wheat,5672.19,1/2/2022,200.04,potassium
